,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
Docosanedioic acid__Cn,Docosanedioic acid,Docosanedioic acid_m370.308_r7.24Cn,0.03498307,0.030888977,0.04948804,0.025779607,0.052928031,0.038165838,0.070854415,0.057533689,0.069077777,0.036133657,0.057330179,0.063705402
Anandamide _C22-6__Cp,Anandamide _C22-6,Anandamide _C22-6_m371.286_r9.56Cp,0.000222361,0.000585292,0.001311297,0.001281504,0.001045389,0.000702737,0.000303672,0.002397029,0.001619022,0.001103331,0.001114884,0.001549463
Tetradecanoylcarnitine__Cp,Tetradecanoylcarnitine,Tetradecanoylcarnitine_m371.302_r6.24Cp,0.001656569,0.000711975,0.001641463,0.001571016,0.001434515,0.000966793,0.002244868,0.002673165,0.001260293,0.000743096,0.001188729,0.001628654
N-stearoyl serine__Cp,N-stearoyl serine,N-stearoyl serine_m371.303_r7.99Cp,0.000548321,0.000369883,0.000485178,0.000715704,0.000574144,0.000382486,0.000801246,0.001338356,0.000526326,0.000478355,0.000302563,0.000538895
"TXB1, thromboxane__Cn","TXB1, thromboxane","TXB1, thromboxane_m372.25_r4.73Cn",0.020330914,0.01683738,0.030864297,0.025367557,0.019591959,0.017413331,0.024103323,0.046734844,0.025000449,0.014907185,0.017550472,0.024208727
Calcitroate__Cp,Calcitroate,Calcitroate_m374.242_r4.18Cp,0.002961742,0.002253013,0.004491213,0.003600255,0.005800145,0.002737153,0.004299202,0.004388083,0.004488572,0.003011133,0.003254304,0.005877747
Hydroxycortisol__Cp,Hydroxycortisol,Hydroxycortisol_m378.202_r1.52Cp,7.55E-05,2.95E-05,0,2.12E-05,4.33E-05,8.36E-05,0.000262516,0,0.000280914,5.62E-05,5.97E-05,0.000102003
Norchenodeoxycholic acid__Cn,Norchenodeoxycholic acid_,Norchenodeoxycholic acid___m378.278_r4.7Cn,0.005583507,0.007235633,0.009615764,0.006353507,0.008176176,0.007043942,0.007473381,0.012644313,0.012739504,0.006284296,0.008723825,0.008845465
N-oleoyl proline__Cn,N-oleoyl proline,N-oleoyl proline_m379.305_r7.6Cn,0.007954508,0.007599899,0.009887916,0.00514015,0.010066946,0.012047346,0.010744882,0.00617357,0.010465139,0.00813225,0.00861139,0.014919309
N-Deoxy-1-fructosyl-tryptophan__Cn,N-Deoxy-1-fructosyl-tryptophan,N-Deoxy-1-fructosyl-tryptophan_m380.164_r6.57Cn,0.044537254,0.05281395,0.078377859,0.06192869,0.034928624,0.042988854,0.043209811,0.128092365,0.095207471,0.051576516,0.07563576,0.062131918
N-stearoyl proline__Cn,N-stearoyl proline_,N-stearoyl proline___m381.325_r7.81Cn,0.030741293,0.019570661,0.030703433,0.013733987,0.032944396,0.031990637,0.054890517,0.016935002,0.0229564,0.014343775,0.039795493,0.049144163
Hydroxynervonic acid__Cn,Hydroxynervonic acid_,Hydroxynervonic acid___m382.344_r7.46Cn,0.015474489,0.013731444,0.024102914,0.012079211,0.023414911,0.017033691,0.027518147,0.026196872,0.030571708,0.013606018,0.023898821,0.025834342
Hydroxynervonate __Cp,Hydroxynervonate ,Hydroxynervonate _m382.344_r9.4Cp,0.00438163,0.00199858,0.00324912,0.00457344,0.005890297,0.001911627,0.007716599,0.005069925,0.003657759,0.002324151,0.00332797,0.005918645
N-oleoyl threonine__Cn,N-oleoyl threonine_,N-oleoyl threonine___m383.305_r7.81Cn,0.009034558,0.009890107,0.019019121,0.01020657,0.011668257,0.014457958,0.012443806,0.014744364,0.010430769,0.00627974,0.014890146,0.014427351
N-stearoyl valine__Cn,N-stearoyl valine_,N-stearoyl valine___m383.341_r7.84Cn,0.007172864,0.006524637,0.010594893,0.007101182,0.007507366,0.007558894,0.00957338,0.010270914,0.010860084,0.005819415,0.015840901,0.019609101
Cholesterol__Cp,Cholesterol,Cholesterol_m386.354_r9.8Cp,0.000929781,0.000733006,0.001120442,0.001310862,0.001003496,0.000743295,0.001027099,0.002322743,0.000938973,0.000996509,0.00074121,0.001228071
Hydroxymyristoylcarnitine__Cp,Hydroxymyristoylcarnitine,Hydroxymyristoylcarnitine_m387.296_r3.35Cp,0.003302212,0.001609987,0.003346802,0.001864314,0.003004599,0.001870322,0.004640313,0.00232783,0.002802532,0.001840613,0.003717684,0.004449785
N-oleoyl taurine__Cn,N-oleoyl taurine_,N-oleoyl taurine___m389.259_r6.98Cn,0.003514103,0.002754206,0.002101271,0.005965182,0.00256315,0.002490549,0.004273019,0.003642544,0.002788241,0.000997832,0.001682766,0.002300763
N-oleoyl taurine__Cp,N-oleoyl taurine,N-oleoyl taurine_m389.26_r4.17Cp,0.003608605,0.002853064,0.005098109,0.003554109,0.00710075,0.003386656,0.004709159,0.004960005,0.005829581,0.004014347,0.003941511,0.007206134
N-palmitoyl histidine__Cn,N-palmitoyl histidine_,N-palmitoyl histidine___m393.3_r6.97Cn,0.004505098,0.003830693,0.001766026,0.00370488,0.004163539,0.002050087,0.003995655,0.006713727,0.002927349,0.003373658,0.002518104,0.004519684
"Cholane-3a,7a-tetrol__Cn","Cholane-3a,7a-tetrol_","Cholane-3a,7a-tetrol___m394.307_r7.02Cn",0.004323908,0.003228351,0.004320346,0.003547825,0.005157462,0.003198336,0.006702006,0.00440634,0.004748131,0.003598132,0.004121893,0.006696725
N-oleoyl isoleucine__Cn,N-oleoyl isoleucine_,N-oleoyl isoleucine___m395.34_r7.78Cn,0.010502126,0.01591124,0.022989156,0.014339014,0.020661364,0.019733765,0.0125913,0.030072824,0.036588264,0.02362257,0.040680704,0.044819858
PGF2alpha-11-acetate__Cn,PGF2alpha-11-acetate,PGF2alpha-11-acetate_m396.252_r7Cn,0.001817801,0.001547521,0.002404051,0.002382386,0.001446564,0.000934654,0.001212526,0.003579119,0.001458174,0.000956372,0.000606583,0.001695105
LysoPE_12-0__Cn,LysoPE_12-0,LysoPE_12-0_m397.228_r7.74Cn,0.004171127,0.011769846,0.014274329,0.009450166,0.014802882,0.012642756,0.00728009,0.024876578,0.024747758,0.010806898,0.023948801,0.021467404
Behenoylglycine__Cn,"Behenoylglycine,  fatty acid oxidation met i_","Behenoylglycine,  fatty acid oxidation met i___m397.355_r7.54Cn",0.017027976,0.042580084,0.024398819,0.022058696,0.019617483,0.041257261,0.023263675,0.023895006,0.028920393,0.013969487,0.040089337,0.050229639
Behenoylglycine__Cp,Behenoylglycine,Behenoylglycine_m397.355_r10.05Cp,0.000402902,0.000268192,0.001005475,0.000556662,0.00058652,0.00050106,0.000453336,0.001639041,0.000733202,0.000391763,0.000672732,0.000721883
Hydroxyvitamin D3__Cp,Hydroxyvitamin D3,Hydroxyvitamin D3_m400.334_r9.56Cp,0.150127095,0.066088091,0.099952353,0.157443958,0.074628124,0.058984163,0.158298359,0.170789012,0.095307218,0.057793431,0.047621308,0.090492007
MG_22-6__Cp,MG_22-6,MG_22-6_m402.274_r8.96Cp,0.000286524,0.000317491,0.000965534,0.000487493,0.000809109,0.000722862,0.00037012,0.000837485,0.00076569,0.000648003,0.000775361,0.000816087
N-Palmitoyl phenylalanine__Cp,N-Palmitoyl phenylalanine,N-Palmitoyl phenylalanine_m403.306_r9.54Cp,0.00363273,0.001782607,0.003474949,0.002701187,0.002780065,0.00259863,0.004908209,0.002363892,0.001556115,0.001219272,0.002608036,0.003650589
Ursocholate__Cp,Ursocholate,Ursocholate_m408.287_r8.22Cp,0.00061744,0.000480468,0.001013001,0.000829135,0.000801707,0.000395057,0.000573068,0.000924788,0.000577122,0.000431607,0.000353532,0.000632635
Oxo-hexacosenoic acid__Cn,Oxo-hexacosenoic acid_,Oxo-hexacosenoic acid___m408.36_r7.98Cn,0.001098743,0.000958818,0.001078106,0.001220293,0.002085033,0.001252736,0.002747576,0.001399767,0.002563175,0.000918276,0.001409573,0.002701135
N-oleoyl glutamine__Cn,N-oleoyl glutamine_,N-oleoyl glutamine___m410.313_r7.68Cn,0.012576124,0.025813237,0.041204074,0.021471936,0.027237489,0.025636379,0.020256525,0.048079884,0.045394972,0.024545911,0.054008445,0.038098331
Oxohexacosanoic acid__Cn,Oxohexacosanoic acid_,Oxohexacosanoic acid___m410.375_r7.7Cn,0.006408092,0.00433683,0.008680596,0.004981676,0.00747365,0.005150759,0.011491717,0.009403842,0.009663614,0.004590831,0.008157451,0.009583921
Palmitoyl glucuronide__Cn,Palmitoyl glucuronide_,Palmitoyl glucuronide___m418.294_r6.82Cn,0.047787006,0.072279751,0.098081605,0.07424145,0.069524147,0.074450068,0.061803359,0.145166769,0.115285084,0.060780062,0.134470939,0.076453915
Dioctylsulfosuccinic acid__Cn,Dioctylsulfosuccinic acid_,Dioctylsulfosuccinic acid___m422.235_r6.71Cn,0.001464579,0.001384266,0.001676602,0.001571625,0.001301256,0.0008071,0.001137199,0.004662054,0.001546182,0.00087279,0.001599309,0.001385215
Hexacosanedioic acid__Cn,Hexacosanedioic acid_,Hexacosanedioic acid___m426.368_r7.61Cn,0.010139481,0.010042896,0.017538858,0.006450832,0.014408884,0.011392689,0.017080468,0.022232411,0.021897678,0.008855988,0.013732097,0.02102219
N-stearoyl phenylalanine__Cn,N-stearoyl phenylalanine_,N-stearoyl phenylalanine___m431.339_r7.87Cn,0.009686848,0.011206341,0.01897464,0.013290807,0.015432884,0.012759125,0.015838236,0.017933395,0.021466644,0.010808956,0.029231909,0.031878756
"Cholestane-3a,7a,12a,25-tetrol__Cn","Cholestane-3a,7a,12a,25-tetrol_","Cholestane-3a,7a,12a,25-tetrol___m436.339_r7.55Cn",0.018783931,0.024469523,0.034295125,0.021517927,0.025762201,0.027374785,0.01768865,0.044150815,0.049462918,0.027101471,0.0233362,0.038311452
LysoPE_P-16-0__Cn,LysoPE_P-16-0,LysoPE_P-16-0_m437.289_r7.3Cn,0.050825059,0.004343698,0.071867827,0.034291588,0.005544197,0.008446531,0.005043643,0.106035815,0.017544728,0.006095869,0.04057722,0.011751294
"LysoPE_P-16-0,0-0__Cp","PE_P-16-0,0-0_","PE_P-16-0,0-0__m437.29_r8.59Cp",0.002986367,0.002172573,0.005750752,0.004837608,0.00377945,0.002234819,0.002644889,0.006803789,0.004439244,0.003490879,0.00379424,0.004606064
LysoPA_18-0__Cn,LysoPA_18-0_,LysoPA_18-0__m438.277_r7.51Cn,0.039701746,0.121719526,0.098179417,0.455169825,0.034928255,0.032909502,0.031936328,0.1378597,0.080028967,0.036171462,0.051330914,0.052977669
Carboxy-g-tocotrienol__Cn,Carboxy-g-tocotrienol_,Carboxy-g-tocotrienol___m440.291_r7.52Cn,0.067162256,0.110527523,0.13658758,0.107377483,0.128220796,0.109182141,0.093064452,0.203989222,0.242114739,0.131551326,0.106236586,0.186278869
N-palmitoyltryptophan__Cn,N-palmitoyltryptophan_,N-palmitoyltryptophan___m442.314_r7.57Cn,0.002277155,0.000972622,0.002867563,0.003329008,0.001851352,0.001265359,0.002159715,0.008802661,0.005276046,0.001347943,0.004053951,0.001983502
FA 30-5__Cp,FA 30-5,FA 30-5_m442.38_r9.76Cp,0.003313299,0.001283979,0.00252597,0.002869429,0.002449632,0.00174276,0.003479548,0.00644618,0.002264483,0.001691212,0.00166298,0.002534672
Carboxy-g-tocopherol__Cn,Carboxy-g-tocopherol_,Carboxy-g-tocopherol___m446.341_r7.87Cn,0.037144606,0.062942491,0.095400509,0.053017202,0.079941536,0.071735739,0.043826703,0.118363534,0.117806791,0.057326885,0.125416939,0.098087492
LysoPE_16-1__Cp,LysoPE_16-1_,LysoPE_16-1__m451.269_r7.38Cp,0.002894764,0.002017076,0.004248129,0.004027367,0.002607936,0.002126939,0.002543753,0.005566879,0.00278849,0.00205214,0.002415625,0.002975796
LysoPE_16-0__Cn,LysoPE_16-0_,LysoPE_16-0__m453.286_r7.21Cn,0.129771195,0.20575131,0.201330552,0.178414465,0.190530838,0.175217993,0.172259642,0.2471186,0.249957216,0.168494274,0.155556678,0.215892445
"CoQ4,Ubiquinone__Cn","CoQ4,Ubiquinone_","CoQ4,Ubiquinone__m454.308_r7.55Cn",0.051633137,0.073781396,0.102237215,0.057822033,0.067006527,0.071379374,0.060123362,0.13098659,0.108918542,0.060855255,0.051390665,0.087458298
"DG_12-0,12-0,0-0__Cn","DG_12-0,12-0,0-0_","DG_12-0,12-0,0-0___m456.38_r7.47Cn",0.030343273,0.02476859,0.050312764,0.016551055,0.039109531,0.034098915,0.048424625,0.06103293,0.057416523,0.028231343,0.04295603,0.048758862
Sulfodeoxycholic acid__Cn,Sulfodeoxycholic acid_,Sulfodeoxycholic acid___m458.234_r7.8Cn,0.011593789,0.019473216,0.031496307,0.015747652,0.023458319,0.023082325,0.017900764,0.035909889,0.042119227,0.018843026,0.04564858,0.030336467
LysoPE_P-18-0__Cp,LysoPE_P-18-0,LysoPE_P-18-0_m465.318_r8.67Cp,0.000682874,0.000548565,0.000969811,0.000982586,0.000613168,0.000495394,0.000556355,0.001924527,0.001216614,0.000923909,0.001017619,0.001386584
N-arachidonoyl tyrosine__Cp,N-arachidonoyl tyrosine,N-arachidonoyl tyrosine_m467.3_r6.9Cp,0.005802646,0.00372312,0.007465369,0.007739918,0.004847353,0.00407519,0.004792916,0.012175497,0.006111718,0.004511133,0.004986565,0.006445019
LysoPE_17-0__Cn,LysoPE_17-0_,LysoPE_17-0__m467.301_r7.25Cn,0.013432172,0.011331607,0.017128493,0.020262451,0.014247873,0.013257224,0.013187031,0.032883873,0.022650662,0.014039094,0.012038612,0.01834534
Androstanediol glucuronide__Cn,Androstanediol glucuronide_,Androstanediol glucuronide___m468.272_r4.78Cn,0.018245929,0.028349308,0.036737731,0.023514188,0.015661994,0.023363626,0.021410934,0.05940356,0.036167355,0.019681188,0.05388773,0.028768328
Methoxyestrone 3-glucuronide__Cn,Methoxyestrone 3-glucuronide_,Methoxyestrone 3-glucuronide___m476.203_r4.76Cn,0.37324481,0.931782029,0.759316761,0.390336109,0.426910406,0.672170744,0.586628977,0.781480597,1.110232804,0.477771053,3.159838777,0.950962142
LysoPE_18-2__Cn,LysoPE_18-2,LysoPE_18-2_m477.287_r6.95Cn,0.025601806,0.026279917,0.036312471,0.027654411,0.034412373,0.028636768,0.033447948,0.042933541,0.041604151,0.026504862,0.027274333,0.03611636
LysoPE_18-1__Cp,LysoPE_18-1,LysoPE_18-1_m479.3_r8.26Cp,0.071527074,0.057393525,0.099046182,0.091914681,0.084824551,0.070669838,0.074604787,0.130215546,0.087121302,0.064798582,0.057926344,0.101382861
LysoPE_18-1__Cn,LysoPE_18-1,LysoPE_18-1_m479.301_r7.22Cn,1.752264043,2.568385361,2.625318975,0.87059456,2.772161596,2.76947094,2.293025487,3.114164254,3.649139205,2.375772347,2.342887596,3.156848661
LysoPE_18-0__Cp,LysoPE_18-0,LysoPE_18-0_m481.316_r8.92Cp,0.038569316,0.026919261,0.039669196,0.067471112,0.031956099,0.024680304,0.042369251,0.068617239,0.042893428,0.032489131,0.032779398,0.044948977
LysoPE_18-0__Cn,LysoPE_18-0_,LysoPE_18-0__m481.317_r7.64Cn,0.045693825,0.072313784,0.092274735,0.075431767,0.048084756,0.043442267,0.055569836,0.116975345,0.079667116,0.038164686,0.090027176,0.075111569
LysoPG_16-0__Cp,LysoPG_16-0,LysoPG_16-0_m484.284_r1.03Cp,0.001378826,0.000305696,0.000607856,0.000597981,0.000792199,0.000686471,0.002661019,0.000734838,0.00155882,0.000466452,0.000905773,0.000771162
"DG_13-0,13-0,0-0__Cn","DG_13-0,13-0,0-0_","DG_13-0,13-0,0-0__m484.411_r7.58Cn",0.014979582,0.015874204,0.024787763,0.011693727,0.020756314,0.017157323,0.019825991,0.0280601,0.031098017,0.014387205,0.021324232,0.024454143
"PE_9-0,9-0__Cn","PE_9-0,9-0_","PE_9-0,9-0____m495.297_r6.97Cn",0.027321528,0.029047693,0.039020077,0.043832026,0.036387119,0.028337123,0.036863765,0.049864522,0.042967343,0.027327492,0.028786955,0.038743169
LysoPE_20-4__Cp,LysoPE_20-4,LysoPE_20-4_m501.289_r7.81Cp,0.002069966,0.001329972,0.003099424,0.00319549,0.002207096,0.001254197,0.001728129,0.004935111,0.001444027,0.001319852,0.001548148,0.002287678
LysoPE_20-2__Cp,LysoPE_20-2_,LysoPE_20-2__m505.316_r8.46Cp,0.020513207,0.013665278,0.027967341,0.024350293,0.020716649,0.01573561,0.020397963,0.033945643,0.022158053,0.016475119,0.017994473,0.024766041
LysoPE_20-1__Cp,LysoPE_20-1_,LysoPE_20-1__m507.331_r8.92Cp,0.038641869,0.030133521,0.059874184,0.048974498,0.040295667,0.036363856,0.039492327,0.0798154,0.050639128,0.035802673,0.037111022,0.051928387
LysoPC_P-18-0__Cp,LysoPC_P-18-0,LysoPC_P-18-0_m507.368_r8.57Cp,0.012570478,0.007942363,0.01364017,0.016439602,0.012434246,0.00828803,0.013679708,0.025480852,0.016185926,0.012045119,0.012463001,0.017136949
LysoPS_17-1__Cn,LysoPS_17-1,LysoPS_17-1_m509.275_r6.43Cn,0.006920329,0.006707731,0.012562317,0.008831941,0.005205363,0.007144815,0.007880601,0.013938812,0.013322831,0.006083729,0.008977364,0.010925231
LysoPE_20-0__Cp,LysoPE_20-0,LysoPE_20-0_m509.347_r8.35Cp,0.001274957,0.000848091,0.001244611,0.007194027,0.000819928,0.000918301,0.001289509,0.003414922,0.001225131,0.001041992,0.000845388,0.001419458
LysoPE_20-0 i__Cp,LysoPE_20-0 i,LysoPE_20-0 i_m509.349_r9.47Cp,0.002794747,0.002672284,0.006272992,0.007136211,0.0025132,0.002535403,0.002755183,0.008049055,0.004524795,0.002597364,0.054519819,0.010443134
LysoPC_O-18-0__Cp,LysoPC_O-18-0,LysoPC_O-18-0_m509.383_r9.07Cp,0.015498549,0.012733078,0.018479059,0.023773448,0.016752023,0.012483087,0.019191738,0.042201761,0.019962069,0.015224503,0.018421925,0.025474071
LysoPG_18-1__Cn,LysoPG_18-1,LysoPG_18-1_m510.299_r7.21Cn,0.012739522,0.019675815,0.015936317,0.009190878,0.013315018,0.012201452,0.016434612,0.025793256,0.025803769,0.010634292,0.013730283,0.01661152
LysoPS_17-0__Cn,LysoPS_17-0,LysoPS_17-0_m511.296_r7.22Cn,0.003535312,0.005773394,0.006815264,0.005405724,0.007233187,0.006102306,0.005810919,0.007013379,0.007051873,0.005933616,0.005647049,0.007376992
Stearoylglycerophosphoglycerol__Cn,Stearoylglycerophosphoglycerol_,Stearoylglycerophosphoglycerol___m512.312_r7.24Cn,0.015848674,0.018056995,0.029436568,0.029321695,0.017212812,0.020720648,0.016935846,0.044881367,0.028460494,0.020206468,0.021455547,0.025079862
LysoPG_18-0__Cp,LysoPG_18-0_,LysoPG_18-0__m512.313_r4.23Cp,0.017806573,0.01063251,0.011840676,0.030066607,0.005699419,0.011423604,0.009806205,0.05394064,0.028891635,0.01869792,0.025247101,0.020597282
"HETE-LPE, LysoPE_20-4;O__Cn","HETE-LPE, LysoPE_20-4;O","HETE-LPE, LysoPE_20-4;O_m517.286_r3.74Cn",0.006838496,0.003493258,0.007607154,0.005303533,0.008731813,0.003103261,0.01083548,0.007232756,0.005678728,0.003592738,0.005665601,0.009527934
LysoPE_20-0__Cn,LysoPE_20-0_,LysoPE_20-0___m523.327_r7.27Cn,0.664602077,0.835007089,0.940790833,0.412046514,0.733522132,0.852469682,0.891414393,1.235278018,1.386471935,0.801877443,0.815134573,0.962846659
LysoPE_22-6__Cp,LysoPE_22-6,LysoPE_22-6_m525.281_r8.21Cp,0.006381023,0.004032784,0.008066627,0.005830679,0.006571741,0.005659779,0.007212978,0.0092985,0.006388023,0.004730231,0.004888776,0.006806334
Palmitoleyl arachidonate__Cp,Palmitoleyl arachidonate,Palmitoleyl arachidonate_m526.474_r8.39Cp,0.00035292,0.000122965,0.000276647,0.000108072,0.000207372,0.000179062,0.000310815,0.000334279,0.000248643,0.000160602,0.000257693,0.000440126
LysoPE_22-4 __Cp,LysoPE_22-4 ,LysoPE_22-4 _m529.316_r6.1Cp,0.013654132,0.021687816,0.018974095,0.025486661,0.007800382,0.013145253,0.013256701,0.041737217,0.022309786,0.010093682,0.012031294,0.013866954
LysoPE_22-4__Cn,LysoPE_22-4_,LysoPE_22-4__m529.318_r7.22Cn,0.134989893,0.259884946,0.287274428,0.119425436,0.272831933,0.204121963,0.207192233,0.326284559,0.35903301,0.207400114,0.200122676,0.312077548
LysoPG_20-4__Cp,LysoPG_20-4,LysoPG_20-4_m532.279_r5.43Cp,0.000910039,0.00131856,0.01744626,0.004412551,0.0040858,0.01168478,0.001857457,0.004853253,0.004520736,0.002419401,0.003762489,0.003940982
Palmitoleyl arachidate__Cn,Palmitoleyl arachidate,Palmitoleyl arachidate_m534.538_r8.72Cn,0.034206741,0.025416462,0.035055323,0.02733625,0.048543053,0.032549665,0.053856779,0.043313331,0.05303434,0.019173798,0.045354707,0.050525966
LysoPE_22-1__Cp,LysoPE_22-1,LysoPE_22-1_m535.363_r9.41Cp,0.017069773,0.014962159,0.013211811,0.024516998,0.015329766,0.007687552,0.016593382,0.043766869,0.000315493,0.014245186,0.007534607,0.012656612
OS-PA__Cn,OS-PA,OS-PA_m536.276_r7.17Cn,0.00024297,0.000202484,0.000746416,0.000300928,0.00032997,0.000433679,0.000626106,0.000826188,0.000655791,0.000425589,0.000451389,0.000285158
Arachidyl palmitate__Cn,Arachidyl palmitate,Arachidyl palmitate_m536.553_r8.72Cn,0.054649127,0.037924502,0.065552149,0.044177469,0.071185928,0.059704984,0.087986332,0.07305583,0.084927301,0.03053112,0.07283113,0.073754141
LysoPS_19-1__Cn,LysoPS_19-1,LysoPS_19-1_m537.309_r7.03Cn,0.029214593,0.039488346,0.044580704,0.035401496,0.042083889,0.033658405,0.030550955,0.059065763,0.045372252,0.028557397,0.039610036,0.044327198
LysoPS_19-0__Cn,LysoPS_19-0_,LysoPS_19-0__m539.323_r6.7Cn,0.039125718,0.03848822,0.047109966,0.031701336,0.042409371,0.036377592,0.048546828,0.061471764,0.058807622,0.038149916,0.042108506,0.052136793
LysoPS_20-4__Cn,LysoPS_20-4_,LysoPS_20-4__m545.275_r6.93Cn,0.009008047,0.010732237,0.015495168,0.007291612,0.014675048,0.011906631,0.011814091,0.015166218,0.018326746,0.011109661,0.013772986,0.015431944
LysoPS_20-2__Cn,LysoPS_20-2_,LysoPS_20-2__m549.308_r7.22Cn,0.335222061,0.391722508,0.275908,0.133713554,0.430530603,0.289257593,0.426666754,0.306255221,0.304181373,0.215661088,0.253914656,0.319297926
LysoPS_20-2__Cp,LysoPS_20-2,LysoPS_20-2_m549.316_r7.92Cp,0.001591537,0.002614356,0.002624463,0.002765312,0.001112328,0.002018821,0.001550734,0.003419227,0.003428667,0.001834836,0.004000919,0.002244577
Heptatriacontanoic acid__Cn,Heptatriacontanoic acid_,Heptatriacontanoic acid___m550.569_r8.76Cn,0.028154758,0.020343824,0.034458325,0.024043613,0.034229279,0.030261114,0.045242805,0.039014051,0.044384119,0.016300608,0.035573979,0.038265694
LysoPS_20-1__Cn,LysoPS_20-1_,LysoPS_20-1__m551.326_r7.3Cn,0.087489872,0.116672613,0.087263783,0.041571892,0.102009546,0.082703996,0.114580773,0.113398294,0.111505217,0.073457251,0.079068997,0.087307063
2-O-b-D-galactopyranosyl-1-6-b-D-galactopyranosyl-hydroxytridecanoic acid__Cn,2-O-b-D-galactopyranosyl-1-6-b-D-galactopyranosyl-hydroxytridecanoic acid,2-O-b-D-galactopyranosyl-1-6-b-D-galactopyranosyl-hydroxytridecanoic acid_m554.293_r6.13Cn,0.038220969,0.007982141,0.147553913,0.122758505,0.004007458,0.008757159,0.007189054,0.354099859,0.047071439,0.003570178,0.388077676,0.126579958
"TG_10-0,10-0,10-0__Cn","TG_10-0,10-0,10-0_","TG_10-0,10-0,10-0___m554.455_r7.73Cn",0.021433492,0.026609836,0.054671186,0.028829203,0.035781179,0.028168398,0.032481859,0.068576931,0.063875721,0.030770824,0.046648169,0.048304308
11R-HETE-LPC_LysoPC_20-4;O__Cn,11R-HETE-LPC_LysoPC_20-4;O_,11R-HETE-LPC_LysoPC_20-4;O__m559.327_r7.51Cn,0.423476607,0.588056861,0.494604142,0.349884028,0.682828543,0.419709756,0.519515987,0.598581783,0.553857324,0.358211447,0.351894923,0.529608989
Protoporphyrin_Porphyrinogen IX__Cn,Protoporphyrin_Porphyrinogen IX,Protoporphyrin_Porphyrinogen IX_m562.254_r5.2Cn,0.004815613,0.006854428,0.010260965,0.008445026,0.003025919,0.004825709,0.005751861,0.017817887,0.010432971,0.003802151,0.008349181,0.005857897
Oleyl arachidate__Cn,Oleyl arachidate,Oleyl arachidate_m562.569_r8.81Cn,0.024949774,0.018023717,0.022926503,0.01866186,0.030062381,0.022027551,0.038858917,0.032252196,0.032469675,0.013296412,0.025914378,0.032189941
OOB-PE__Cn,OOB-PE,OOB-PE_m563.325_r7.24Cn,0.042723447,0.060389528,0.055638623,0.066921838,0.062456163,0.056293575,0.052382759,0.092661767,0.076969774,0.044602618,0.051879029,0.064588699
PHOOA-PA__Cn,PHOOA-PA,PHOOA-PA_m564.306_r4.02Cn,0.007930679,0.006488805,0.014246255,0.011971108,0.008766941,0.006435672,0.010055341,0.050880731,0.011420902,0.005907862,0.007591986,0.008408765
Docosyl-palmitate__Cn,Docosyl-palmitate,Docosyl-palmitate_m564.584_r8.81Cn,0.040956702,0.027940638,0.039662983,0.030300307,0.045877467,0.037771117,0.065301283,0.049151777,0.052132563,0.021400628,0.04334353,0.048154599
LysoPE_24-0__Cp,LysoPE_24-0,LysoPE_24-0_m565.408_r9.9Cp,0.000743942,0.00079836,0.001668743,0.001308816,0.000586456,0.000694424,0.000773056,0.001886906,0.001264024,0.000551921,0.003174497,0.001211339
PHHdiA-PA__Cn,PHHdiA-PA,PHHdiA-PA_m566.29_r4.01Cn,0.007854547,0.009586662,0.015301027,0.01268487,0.012274753,0.011664554,0.014073902,0.017686271,0.018108791,0.007123004,0.008720383,0.014366489
LysoPS_21-0__Cp,LysoPS_21-0,LysoPS_21-0 i_m567.352_r8.83Cp,0.000852012,0.000553707,0.000481558,0.000996698,0.000648219,0.000454819,0.000722704,0.00097269,0.000573137,0.000379684,0.000414444,0.000696764
LysoPS_21-0__Cn,"LysoPS_21-0,0-0_","LysoPS_21-0,0-0____m567.355_r7.14Cn",0.171791159,0.218897005,0.230639964,0.136297292,0.257895729,0.241565324,0.238588805,0.296115704,0.361819664,0.237214237,0.271329337,0.326786451
"LTF4, leukotriene__Cn","LTF4, leukotriene","LTF4, leukotriene_m568.286_r4.73Cn",0.016846687,0.018565066,0.025689049,0.016078934,0.013348857,0.019379947,0.018585473,0.041961729,0.020814315,0.012047137,0.030192745,0.018280188
POB-PG__Cn,POB-PG,POB-PG_m568.291_r6.7Cn,0.003549462,0.003827442,0.008203683,0.004072532,0.003960342,0.004298002,0.003705852,0.006820601,0.00581881,0.003608009,0.004530232,0.004352102
LysoPI_16-0__Cp,LysoPI_16-0,LysoPI_16-0_m572.293_r2.6Cp,0.003687967,0.000867265,0.003484317,0.001896868,0.001335887,0.002149713,0.007429699,0.003661764,0.002855082,0.001255833,0.001979334,0.002448606
"DG_13-0,20-4,0-0__Cn","DG_13-0,20-4,0-0_","DG_13-0,20-4,0-0____m574.457_r7.76Cn",0.012412069,0.015293062,0.03232564,0.018909175,0.021737166,0.015235996,0.017134758,0.034693807,0.044031853,0.018510011,0.041273089,0.034562072
