,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
Myristoleic acid__Cp,Myristoleic acid,Myristoleic acid_m226.192_r4.47Cp,0.004215527,0.002581412,0.004167666,0.004633067,0.011267007,0.005802001,0.005589459,0.008493553,0.010357436,0.005641054,0.003511149,0.006359013
Dodecenedioic acid__Cn,Dodecenedioic acid_,Dodecenedioic acid___m228.136_r4.21Cn,0.013938162,0.018391026,0.020957042,0.018330148,0.022805223,0.019016109,0.023358329,0.032407263,0.022734992,0.015195012,0.023161612,0.025714193
Dodecanedioate__Cn,Dodecanedioate,Dodecanedioate_m230.151_r3.75Cn,0.042776639,0.033939104,0.059276848,0.048236308,0.064638429,0.043597717,0.078771308,0.054889736,0.057463083,0.037438096,0.057298132,0.077053437
Dodecanedioate__Cp,Dodecanedioate,Dodecanedioate_m230.151_r2.26Cp,0.00511853,0.001600738,0.007313638,0.005914942,0.002766013,0.00178581,0.0053341,0.013088388,0.002822555,0.0019096,0.002942287,0.003933677
Hydroxy-tridecanoic acid__Cn,Hydroxy-tridecanoic acid,Hydroxy-tridecanoic acid_m230.188_r6.16Cn,0.032477041,0.021697111,0.045493493,0.042503676,0.041326364,0.02878924,0.048892639,0.055829466,0.035214244,0.02328418,0.035729677,0.046142123
Cystathionine sulfoxide__Cn,Cystathionine sulfoxide_,Cystathionine sulfoxide___m238.061_r3.26Cn,0.00126079,0.001352264,0.001482068,0.002054965,0.003216398,0.002000639,0.002013395,0.002402056,0.002892269,0.001937592,0.002664063,0.003315432
Carboxy-4-methyl-5-propyl-2-furanpropanoic acid__Cn,Carboxy-4-methyl-5-propyl-2-furanpropanoic acid_,Carboxy-4-methyl-5-propyl-2-furanpropanoic acid___m240.099_r3.01Cn,0.013411448,0.172873171,0.021162419,0.00745583,0.016051757,0.040197493,0.057248651,0.040364052,0.11946716,0.035618635,0.382895859,0.208450209
Oxo-Tetradecenoic acid__Cn,Oxo-Tetradecenoic acid_,Oxo-Tetradecenoic acid___m240.172_r6.04Cn,0.016083923,0.026429232,0.036229688,0.033055775,0.03898231,0.027490345,0.03127202,0.03709767,0.045695597,0.024310135,0.041358397,0.042678954
Hydroxytetradecenoic acid__Cn,Hydroxytetradecenoic acid_,Hydroxytetradecenoic acid___m242.187_r6.65Cn,0.005143886,0.007048896,0.008697036,0.00821797,0.010986987,0.006843421,0.008364112,0.010832682,0.008273605,0.005175136,0.007434925,0.010541903
N-Undecanoylglycine__Cn,N-Undecanoylglycine_,N-Undecanoylglycine___m243.183_r3.61Cn,0.02485993,0.018318243,0.067944822,0.061672668,0.010525183,0.019831144,0.028970236,0.261872727,0.178574015,0.045332288,0.076224741,0.044626173
